i,should_take,took,subject,session,rep
73,2.3824,2.3842251,s002,2,24
74,2.2774,2.2794333,s002,2,25
75,3.4585,3.4602626,s002,2,26
76,2.5984,2.6000335,s002,2,27
77,2.3996,2.4013954,s002,2,28
78,2.5148,2.5164169,s002,2,29
79,2.3386,2.3400731,s002,2,30
80,2.2304,2.2319053,s002,2,31
81,2.6831,2.6850885,s002,2,32
82,2.5479000000000003,2.5496036,s002,2,33
83,2.4242,2.4255139,s002,2,34
84,2.509,2.5107824,s002,2,35
85,2.9946,2.9963227999999997,s002,2,36
86,2.7445,2.7458641,s002,2,37
87,2.4928,2.4944866,s002,2,38
88,2.3623,2.3638986,s002,2,39
89,2.1919,2.1935531,s002,2,40
90,2.2718,2.2737719,s002,2,41
91,2.8125999999999998,2.8141282,s002,2,42
92,2.8362,2.8378512000000002,s002,2,43
93,2.1303,2.1322541,s002,2,44
94,2.3745,2.3762345,s002,2,45
95,2.5770999999999997,2.5788336,s002,2,46
96,2.4188,2.4202271,s002,2,47
97,2.564,2.5653749,s002,2,48
98,2.516,2.5177110000000003,s002,2,49
99,2.3397,2.3410343,s002,2,50
100,3.4713,3.4732785,s002,3,1
101,2.6299,2.6316762000000002,s002,3,2
102,2.7041,2.7056803,s002,3,3
103,2.0502,2.0516953,s002,3,4
104,2.3021,2.3034414,s002,3,5
105,2.2462,2.247464,s002,3,6
106,3.5758,3.5775277,s002,3,7
107,2.1607,2.1620605,s002,3,8
108,2.3938,2.3955406,s002,3,9
109,2.4009,2.4026599,s002,3,10
110,2.0669,2.0683081,s002,3,11
111,2.15,2.1517667,s002,3,12
112,2.9797000000000002,2.9815135,s002,3,13
113,2.5380000000000003,2.5393251,s002,3,14
114,2.239,2.240777,s002,3,15
115,2.3614,2.3627275,s002,3,16
116,2.5356,2.5371926,s002,3,17
117,2.5224,2.5240507,s002,3,18
118,2.2365,2.2381976,s002,3,19
119,2.77,2.7717011,s002,3,20
120,3.3195,3.3212070000000002,s002,3,21
121,2.4377,2.4390684,s002,3,22
122,2.5984,2.6000793,s002,3,23
123,2.7771,2.7787317,s002,3,24
124,2.2512,2.2528418,s002,3,25
125,2.375,2.3766639,s002,3,26
126,2.1457,2.1472069,s002,3,27
127,2.3229,2.3244277,s002,3,28
128,2.4093999999999998,2.4109909,s002,3,29
129,2.3264,2.3279565,s002,3,30
130,2.239,2.2403537,s002,3,31
131,2.0969,2.0982946,s002,3,32
132,2.4715,2.4731506,s002,3,33
133,2.6765,2.6782453,s002,3,34
134,2.1777,2.1794538,s002,3,35
135,2.2487,2.2504228,s002,3,36
136,2.8136,2.8152483999999998,s002,3,37
137,2.5116,2.5130549,s002,3,38
138,2.29,2.2917283,s002,3,39
139,2.4975,2.499035,s002,3,40
140,2.8059,2.8073518,s002,3,41
141,2.1586,2.1603174,s002,3,42
142,2.2352,2.23644,s002,3,43
143,2.2656,2.2670839,s002,3,44
144,2.5521000000000003,2.5537147,s002,3,45
145,2.4046,2.4064153,s002,3,46
146,2.0889,2.0903686,s002,3,47
147,2.4251,2.4267047,s002,3,48
148,2.4031000000000002,2.4045468,s002,3,49
149,2.2044,2.2061127,s002,3,50
150,2.0861,2.0875335,s002,4,1
151,2.1509,2.1523773999999998,s002,4,2
152,2.0496,2.0512582,s002,4,3
153,2.084,2.0859394,s002,4,4
154,2.1296,2.1310018,s002,4,5
155,2.0245,2.0260393,s002,4,6
156,2.2617,2.2631336,s002,4,7
157,2.6412,2.6427801,s002,4,8
158,2.1281,2.1294527,s002,4,9
159,2.2342,2.2356747,s002,4,10
160,2.3455,2.347455,s002,4,11
161,2.214,2.2155356,s002,4,12
162,2.1386,2.1401466,s002,4,13
163,2.3196,2.3211663,s002,4,14
164,2.1586,2.1604272,s002,4,15
165,2.1921,2.1936531,s002,4,16
166,2.1477,2.1491555,s002,4,17
167,2.3319,2.3335378,s002,4,18
168,2.1222,2.1237229,s002,4,19
169,2.1689,2.1707861,s002,4,20
170,2.084,2.0856538000000002,s002,4,21
171,2.1021,2.1038471,s002,4,22
172,2.291,2.2925928,s002,4,23
173,1.7806,1.7818791,s002,4,24
174,2.0724,2.0741943,s002,4,25
175,2.0177,2.019005,s002,4,26
176,2.4054,2.4072059,s002,4,27
177,2.1964,2.1979924,s002,4,28
178,2.1776,2.1789379,s002,4,29
179,2.2259,2.2274701,s002,4,30
180,2.1961,2.1979854,s002,4,31
181,2.017,2.0185002,s002,4,32
182,2.2916,2.2931391,s002,4,33
183,2.0542,2.0559518,s002,4,34
184,1.9242,1.9260038000000002,s002,4,35
185,2.0437,2.0452744,s002,4,36
186,2.0873,2.0890858,s002,4,37
187,1.9828000000000001,1.9844769,s002,4,38
188,2.1166,2.1179582,s002,4,39
189,2.2313,2.2328485000000002,s002,4,40
190,1.9675,1.9692433999999999,s002,4,41
191,2.0619,2.0633643,s002,4,42
192,2.0591,2.0605988,s002,4,43
193,2.0205,2.0219516,s002,4,44
194,2.6138,2.6153827,s002,4,45
195,1.9901,1.991428,s002,4,46
196,2.4494,2.4510722,s002,4,47
197,2.4422,2.4436638,s002,4,48
198,2.2202,2.2222024,s002,4,49
199,2.2406,2.242211,s002,4,50
200,1.9022999999999999,1.9036011,s002,5,1
201,1.7779,1.779471,s002,5,2
202,2.6602,2.6618431,s002,5,3
203,1.7095,1.710836,s002,5,4
204,1.7869000000000002,1.7881335,s002,5,5
205,1.8923999999999999,1.8941337,s002,5,6
206,1.8909,1.8927624,s002,5,7
207,1.7736,1.7759022,s002,5,8
208,1.9272,1.9290451,s002,5,9
209,1.9245999999999999,1.926192,s002,5,10
210,1.7843,1.785762,s002,5,11
211,2.5456,2.5474266,s002,5,12
212,2.1593,2.1607506,s002,5,13
213,1.7730000000000001,1.7744168999999999,s002,5,14
214,2.1402,2.141739,s002,5,15
215,1.9596,1.9609706999999998,s002,5,16
216,2.0564,2.0581122,s002,5,17
217,2.1565,2.1581922000000002,s002,5,18
218,2.0731,2.0747818,s002,5,19
219,2.5585,2.5602274,s002,5,20
220,2.1359,2.1375069,s002,5,21
221,2.0576,2.0591449,s002,5,22
222,1.8813,1.8830819,s002,5,23
223,2.1614,2.1629422,s002,5,24
224,2.4295999999999998,2.4309059,s002,5,25
225,2.692,2.6932581,s002,5,26
226,1.9074,1.9091069,s002,5,27
227,2.178,2.1796134,s002,5,28
228,1.9535,1.9551739000000001,s002,5,29
229,2.535,2.5366011,s002,5,30
230,1.885,1.8867492000000001,s002,5,31
231,2.1561,2.1579802,s002,5,32
232,1.9137,1.9151137,s002,5,33
233,2.6728,2.6744976,s002,5,34
234,2.1218,2.123379,s002,5,35
235,2.1447,2.1460271,s002,5,36
236,2.0699,2.0711939,s002,5,37
237,1.9529,1.9544325,s002,5,38
238,2.023,2.024389,s002,5,39
239,1.9542000000000002,1.9556978,s002,5,40
240,1.8805,1.882209,s002,5,41
241,2.0388,2.0404664,s002,5,42
242,2.0877,2.0892713,s002,5,43
243,1.9407,1.9420686,s002,5,44
244,2.1897,2.1910912,s002,5,45
245,2.9199,2.9213132,s002,5,46
246,1.9338,1.9355253000000001,s002,5,47
247,2.0179,2.0190812,s002,5,48
248,1.9482,1.9500102,s002,5,49
249,1.7951000000000001,1.796662,s002,5,50
250,1.7938,1.7955196,s002,6,1
251,1.7826,1.7842592000000002,s002,6,2
252,1.8386,1.8401073000000001,s002,6,3
253,1.8820000000000001,1.8834928,s002,6,4
254,2.0228,2.02428,s002,6,5
255,2.1403,2.1417438,s002,6,6
256,1.9363000000000001,1.9378848,s002,6,7
257,1.6707,1.6719103,s002,6,8
258,1.8115999999999999,1.8131907,s002,6,9
259,1.7882,1.789421,s002,6,10
260,1.9131,1.9147267000000001,s002,6,11
261,2.2431,2.2449346,s002,6,12
262,1.7383,1.739929,s002,6,13
263,2.2309,2.2322297,s002,6,14
264,1.796,1.7977039000000001,s002,6,15
265,1.7795999999999998,1.7812036,s002,6,16
266,1.7890000000000001,1.7907338,s002,6,17
267,1.8796,1.8812196,s002,6,18
268,1.7633999999999999,1.764808,s002,6,19
269,1.8307,1.8326275,s002,6,20
270,2.0866,2.0882598,s002,6,21
271,1.8711,1.8725022999999998,s002,6,22
272,1.6199,1.621612,s002,6,23
273,2.0185,2.0202915,s002,6,24
274,1.6693,1.6706391,s002,6,25
275,1.7266,1.7279936,s002,6,26
276,1.7633,1.7651211,s002,6,27
277,1.8892,1.8911387,s002,6,28
278,1.7628,1.7640535000000002,s002,6,29
279,2.0296,2.031032,s002,6,30
280,2.0012,2.0027241,s002,6,31
281,1.7917999999999998,1.7930035,s002,6,32
282,2.1316,2.1330236,s002,6,33
283,1.7992,1.8008928,s002,6,34
284,1.9845000000000002,1.9859821,s002,6,35
285,1.8119,1.8138887000000001,s002,6,36
286,1.8086,1.8103888000000001,s002,6,37
287,1.7407,1.7421410000000002,s002,6,38
288,1.9426999999999999,1.9442222999999998,s002,6,39
289,1.7646,1.7661575,s002,6,40
290,1.8566,1.858294,s002,6,41
291,1.9100000000000001,1.9117362,s002,6,42
292,1.8364,1.8377355,s002,6,43
293,1.887,1.8885041999999999,s002,6,44
294,2.1135,2.1149266,s002,6,45
295,1.9045,1.9062417,s002,6,46
296,1.8767,1.8784047,s002,6,47
297,1.9308999999999998,1.9323972999999999,s002,6,48
298,1.8665,1.8683793,s002,6,49
299,2.2088,2.2106205,s002,6,50
300,2.5101,2.5119362,s002,7,1
301,2.7984,2.8002876,s002,7,2
302,1.8279,1.8296074,s002,7,3
303,1.9874,1.9891440999999999,s002,7,4
304,1.9304000000000001,1.9320796,s002,7,5
305,1.8854,1.8871207,s002,7,6
306,1.9485000000000001,1.9502508,s002,7,7
307,2.4022,2.403681,s002,7,8
308,2.0617,2.0632881,s002,7,9
309,2.0194,2.0207762,s002,7,10
310,2.3241,2.3256594,s002,7,11
311,2.1343,2.1361556,s002,7,12
312,2.0375,2.0391146,s002,7,13
313,2.4048,2.4065175,s002,7,14
314,1.8963999999999999,1.8979634,s002,7,15
315,1.9415,1.9431563,s002,7,16
316,2.2684,2.2702164,s002,7,17
317,2.3815,2.383076,s002,7,18
318,1.8359999999999999,1.8373496999999999,s002,7,19
319,1.8325,1.8339834000000002,s002,7,20
320,1.8917000000000002,1.8930297999999999,s002,7,21
321,2.0174,2.0186078,s002,7,22
322,2.5057,2.5072378,s002,7,23
323,2.1128,2.1142394,s002,7,24
324,1.9462000000000002,1.9481472,s002,7,25
325,1.8782999999999999,1.8798447,s002,7,26
326,2.1826,2.1842579,s002,7,27
327,2.196,2.197925,s002,7,28
328,1.9332,1.9347359,s002,7,29
329,2.3752,2.3768647,s002,7,30
330,2.213,2.2150342,s002,7,31
331,2.0186,2.0198873,s002,7,32
332,1.9524,1.9542171000000002,s002,7,33
333,2.1253,2.1266089,s002,7,34
334,2.2409,2.242379,s002,7,35
335,2.2888,2.2904104,s002,7,36
336,2.9163,2.918215,s002,7,37
337,2.0652,2.0666612,s002,7,38
338,2.0177,2.0190796,s002,7,39
339,2.0316,2.033095,s002,7,40
340,2.3519,2.3534955,s002,7,41
341,2.9829,2.9847232,s002,7,42
342,1.9979,1.9993532,s002,7,43
343,2.2597,2.2612703,s002,7,44
344,2.0018,2.0034781,s002,7,45
345,2.1041,2.1057676,s002,7,46
346,2.1446,2.1462125,s002,7,47
347,2.0515,2.0532007,s002,7,48
348,1.9102000000000001,1.9120137000000001,s002,7,49
349,2.0264,2.0284002,s002,7,50
350,2.9542,2.9557822,s002,8,1
351,2.7294,2.7310513,s002,8,2
352,2.7186,2.7202973999999998,s002,8,3
353,2.737,2.738597,s002,8,4
354,2.3519,2.3538024,s002,8,5
355,2.8797,2.8814256,s002,8,6
356,2.584,2.5857742999999997,s002,8,7
357,3.2011,3.2027771,s002,8,8
358,2.8207,2.8224848,s002,8,9
359,2.357,2.3585566,s002,8,10
360,2.7901,2.7916488,s002,8,11
361,2.2321,2.2336422,s002,8,12
362,2.3193,2.3215276,s002,8,13
363,2.7498,2.7522165,s002,8,14
364,2.5996,2.6014961,s002,8,15
365,3.0104,3.0122794,s002,8,16
366,2.7239,2.7257746000000003,s002,8,17
367,2.817,2.8185356,s002,8,18
368,2.4058,2.4074424,s002,8,19
369,2.4468,2.4483888,s002,8,20
370,2.2223,2.2237622,s002,8,21
371,2.3957,2.3976202,s002,8,22
372,2.3819,2.3832347,s002,8,23
373,2.7818,2.7834925999999998,s002,8,24
374,2.3311,2.3323547,s002,8,25
375,2.3602,2.3618430999999998,s002,8,26
376,2.1659,2.1678226,s002,8,27
377,2.3098,2.31178,s002,8,28
378,2.2583,2.2600149,s002,8,29
379,2.1063,2.1079318,s002,8,30
380,2.4971,2.4989911,s002,8,31
381,2.6028000000000002,2.6048248000000003,s002,8,32
382,2.2784,2.2800635,s002,8,33
383,2.5766,2.5782325,s002,8,34
384,2.4751,2.4771628,s002,8,35
385,2.2122,2.2137649,s002,8,36
386,2.9914,2.99331,s002,8,37
387,2.779,2.78087,s002,8,38
388,2.9255,2.9274939,s002,8,39
389,2.5192,2.5209894,s002,8,40
390,2.4171,2.4186643,s002,8,41
391,2.5518,2.5535536,s002,8,42
392,2.9024,2.9044152,s002,8,43
393,2.4886,2.4899854,s002,8,44
394,2.3959,2.3974675,s002,8,45
395,2.3106,2.3125895,s002,8,46
396,2.7884,2.79017,s002,8,47
397,2.5968,2.5985581,s002,8,48
398,2.6591,2.6610166,s002,8,49
399,3.4587,3.4605616,s002,8,50
400,3.5355,3.5372291000000002,s003,1,1
401,3.574,3.5755482,s003,1,2
402,3.2329,3.2346267,s003,1,3
403,4.1224,4.1243422,s003,1,4
404,3.6433,3.6451702,s003,1,5
405,2.5266,2.5281571,s003,1,6
406,3.6055,3.6072362,s003,1,7
407,2.5509,2.5528684999999998,s003,1,8
408,3.193,3.1946877,s003,1,9
409,3.0477,3.0491961,s003,1,10
410,2.8602,2.8618246000000003,s003,1,11
411,2.7425,2.7443234,s003,1,12
412,2.388,2.3895910000000002,s003,1,13
413,2.379,2.3806413,s003,1,14
414,3.7049,3.706568,s003,1,15
415,2.8954,2.8969061,s003,1,16
416,3.3487999999999998,3.3504298,s003,1,17
417,3.2988,3.3005048,s003,1,18
418,3.1307,3.1326272,s003,1,19
419,2.5061999999999998,2.507845,s003,1,20
420,2.4865,2.4880947,s003,1,21
421,3.1307,3.1322162000000002,s003,1,22
422,2.9339,2.9355051,s003,1,23
423,2.4393000000000002,2.4410098,s003,1,24
424,2.6177,2.6195527,s003,1,25
425,2.6019,2.6042403,s003,1,26
426,2.1075,2.1091348,s003,1,27
427,2.0382,2.0399241,s003,1,28
428,2.8308,2.832587,s003,1,29
429,2.6112,2.612895,s003,1,30
430,3.7749,3.7767005,s003,1,31
431,2.4526,2.4542819,s003,1,32
432,3.2055,3.2074139,s003,1,33
433,2.3644,2.3659406,s003,1,34
434,2.4929,2.4948192000000002,s003,1,35
435,2.1461,2.1474865,s003,1,36
436,2.2904,2.2918493,s003,1,37
437,2.1921,2.1940182,s003,1,38
438,2.1428,2.1443891,s003,1,39
439,2.3946,2.3963115999999998,s003,1,40
440,2.1661,2.1675193,s003,1,41
441,2.1875,2.1892263,s003,1,42
442,2.1922,2.1937436,s003,1,43
443,2.1004,2.1022257,s003,1,44
444,2.081,2.0824946,s003,1,45
445,2.541,2.5425363,s003,1,46
446,2.9068,2.9082548,s003,1,47
447,2.3354,2.3369628000000002,s003,1,48
448,2.2173,2.2191058,s003,1,49
449,2.5016,2.5031182,s003,1,50
450,2.6588000000000003,2.6606398,s003,2,1
451,2.8762,2.8777079,s003,2,2
452,2.6328,2.6347164,s003,2,3
453,3.2915,3.2928962,s003,2,4
454,3.9032,3.9050682,s003,2,5
455,3.097,3.0986274,s003,2,6
456,3.8438,3.8455443000000002,s003,2,7
457,2.3889,2.3904957,s003,2,8
458,2.2502,2.2520664,s003,2,9
459,2.1814,2.1831145,s003,2,10
460,2.142,2.1439957,s003,2,11
461,2.1796,2.1813593,s003,2,12
462,2.4497999999999998,2.4515743,s003,2,13
463,1.9625,1.9641662,s003,2,14
464,2.0192,2.0213562,s003,2,15
465,1.8999000000000001,1.9015343,s003,2,16
466,1.8399999999999999,1.8415393,s003,2,17
467,1.7988,1.8005156,s003,2,18
468,1.862,1.8639318,s003,2,19
469,2.3843,2.38586,s003,2,20
470,2.318,2.3196201,s003,2,21
471,1.8559,1.8575255,s003,2,22
472,1.8916,1.8928848999999999,s003,2,23
473,2.3607,2.362121,s003,2,24
474,3.2332,3.2349935,s003,2,25
475,1.964,1.9654726,s003,2,26
476,1.8134000000000001,1.8147406,s003,2,27
477,2.3797,2.3813948,s003,2,28
478,1.885,1.8867288,s003,2,29
479,2.0013,2.0029537,s003,2,30
480,1.698,1.6992326,s003,2,31
481,1.7344,1.7361083000000002,s003,2,32
482,2.4773,2.4785625,s003,2,33
483,1.8593,1.8608415,s003,2,34
484,1.873,1.8746544,s003,2,35
485,1.7572999999999999,1.7589342000000001,s003,2,36
486,2.4929,2.4946389,s003,2,37
487,3.6916,3.6930968,s003,2,38
488,3.2974,3.29896,s003,2,39
489,1.9144,1.9161465,s003,2,40
490,2.2974,2.2991456,s003,2,41
491,1.8050000000000002,1.8065305,s003,2,42
492,1.908,1.909488,s003,2,43
493,1.9765000000000001,1.9779044,s003,2,44
494,2.4815,2.4833489,s003,2,45
495,2.347,2.3487207,s003,2,46
496,1.9089,1.910166,s003,2,47
497,1.7534,1.7550645,s003,2,48
498,2.1195,2.1211809,s003,2,49
499,2.0101,2.0114741,s003,2,50
500,2.3173,2.3189296,s003,3,1
501,2.032,2.033795,s003,3,2
502,2.3064999999999998,2.3085601000000002,s003,3,3
503,2.1638,2.1651896,s003,3,4
504,2.6037,2.6051034,s003,3,5
505,3.3079,3.3094764,s003,3,6
506,1.9777,1.9794334999999998,s003,3,7
507,2.0604,2.0625095,s003,3,8
508,1.8407,1.8422371,s003,3,9
509,2.0081,2.0097885,s003,3,10
510,1.7619,1.7631456,s003,3,11
511,1.8420999999999998,1.8437025999999999,s003,3,12
512,3.1118,3.1133509,s003,3,13
513,2.8723,2.8737562,s003,3,14
514,1.8927,1.8939960999999998,s003,3,15
515,2.38,2.3818153,s003,3,16
516,2.4053,2.4073732,s003,3,17
517,1.9344999999999999,1.9360078,s003,3,18
518,2.4347,2.4361582,s003,3,19
519,1.9893999999999998,1.9908858,s003,3,20
520,2.6535,2.6551495000000003,s003,3,21
521,1.9102000000000001,1.9118783000000001,s003,3,22
522,1.748,1.749533,s003,3,23
523,2.2134,2.2152003000000002,s003,3,24
524,1.7523,1.7541183999999999,s003,3,25
525,2.8303000000000003,2.8322097,s003,3,26
526,1.9851,1.986883,s003,3,27
527,1.7807,1.7823067,s003,3,28
528,1.9981,1.9996979000000001,s003,3,29
529,2.1947,2.1961233,s003,3,30
530,2.3819,2.3834429,s003,3,31
531,1.8643999999999998,1.8659484,s003,3,32
532,1.9823,1.9835612,s003,3,33
533,1.9183,1.9197416999999999,s003,3,34
534,1.8003,1.8021036000000001,s003,3,35
535,1.7734999999999999,1.775261,s003,3,36
536,2.2002,2.2020563,s003,3,37
537,1.8997000000000002,1.9009876,s003,3,38
538,1.7294,1.7310569,s003,3,39
539,1.8860000000000001,1.8873592000000001,s003,3,40
540,2.576,2.5772855999999997,s003,3,41
541,2.5733,2.5749985,s003,3,42
542,1.9167999999999998,1.9182561,s003,3,43
543,1.9752,1.9765945999999999,s003,3,44
544,2.1706,2.1723268,s003,3,45
545,1.6932,1.6948064,s003,3,46
546,1.8406,1.8421867,s003,3,47
547,2.0956,2.0970326,s003,3,48
548,1.8953,1.8970647,s003,3,49
549,2.3635,2.3651688,s003,3,50
550,2.5132,2.5149657,s003,4,1
551,2.3955,2.3970882,s003,4,2
552,2.1449,2.1466031,s003,4,3
553,1.9807000000000001,1.9819786000000001,s003,4,4
554,2.7255000000000003,2.7272562000000002,s003,4,5
555,1.8612,1.8625536999999999,s003,4,6
556,2.2832,2.2849145,s003,4,7
557,1.9154,1.9168728000000002,s003,4,8
558,2.7559,2.7575107,s003,4,9
559,2.0536,2.0552516,s003,4,10
560,1.6408,1.6421682,s003,4,11
561,1.7204000000000002,1.721847,s003,4,12
562,2.0771,2.0787711,s003,4,13
563,1.6564999999999999,1.6580963,s003,4,14
564,2.0903,2.0915707,s003,4,15
565,1.6648,1.6666839,s003,4,16
566,1.9104,1.9122812,s003,4,17
567,1.7519,1.7535631999999999,s003,4,18
568,2.3198,2.3215182,s003,4,19
569,1.6924000000000001,1.6941324,s003,4,20
570,2.795,2.7971422,s003,4,21
571,1.9703,1.9717810999999998,s003,4,22
572,1.7761,1.7774436,s003,4,23
573,1.7433999999999998,1.7452904,s003,4,24
574,3.0497,3.0517583,s003,4,25
575,2.3621,2.3640835,s003,4,26
576,1.9021,1.9033965,s003,4,27
577,1.6711,1.6726352,s003,4,28
578,1.6069,1.6083958,s003,4,29
579,1.6202,1.6217963,s003,4,30
580,1.6312,1.6332957000000001,s003,4,31
581,1.7389000000000001,1.7405887,s003,4,32
582,1.8995,1.9010878,s003,4,33
583,1.8773,1.8786119000000001,s003,4,34
584,1.6641,1.6655757,s003,4,35
585,2.4785,2.4797416,s003,4,36
586,2.2719,2.2734899,s003,4,37
587,1.6276000000000002,1.6293112,s003,4,38
588,1.5756000000000001,1.5771695000000001,s003,4,39
589,1.5692,1.5707399,s003,4,40
590,1.7893,1.7909724,s003,4,41
591,1.7273,1.7288589,s003,4,42
592,1.9529999999999998,1.9545443,s003,4,43
593,1.7891,1.791226,s003,4,44
594,1.8979,1.8993753,s003,4,45
595,1.8429,1.8445046999999999,s003,4,46
596,1.8279,1.8294685,s003,4,47
597,2.4976,2.4989138,s003,4,48
598,1.7873,1.7887924,s003,4,49
599,1.8948,1.8962156000000001,s003,4,50
600,2.1061,2.1076892,s003,5,1
601,2.7036,2.7054742000000003,s003,5,2
602,2.2781000000000002,2.2796035,s003,5,3
603,1.8312,1.8326957,s003,5,4
604,1.8961000000000001,1.8975065,s003,5,5
605,2.8788,2.8806958,s003,5,6
606,2.0214,2.0229848,s003,5,7
607,1.7248999999999999,1.7268200999999999,s003,5,8
608,2.0729,2.0741504,s003,5,9
609,1.7309999999999999,1.7326252,s003,5,10
610,1.6852,1.6863774,s003,5,11
611,1.7949000000000002,1.7967748000000001,s003,5,12
612,1.6232,1.6248022,s003,5,13
613,2.2908,2.292337,s003,5,14
614,1.9574,1.9592034,s003,5,15
615,1.6104,1.6120587,s003,5,16
616,1.8688,1.8699707,s003,5,17
617,1.7389000000000001,1.7401892,s003,5,18
618,1.7334,1.7348083,s003,5,19
619,1.7248,1.7267621,s003,5,20
620,2.4063,2.4079328,s003,5,21
621,1.8827,1.8841556000000002,s003,5,22
622,2.0265,2.0281434,s003,5,23
623,1.9163999999999999,1.9178971,s003,5,24
624,2.0339,2.0354749,s003,5,25
625,1.7187000000000001,1.7201875,s003,5,26
626,1.7602,1.7616665,s003,5,27
627,1.6928999999999998,1.6944645,s003,5,28
628,2.0769,2.0783358,s003,5,29
629,1.6301999999999999,1.6317887,s003,5,30
630,1.811,1.8124867999999998,s003,5,31
631,1.7199,1.721239,s003,5,32
632,1.6175000000000002,1.6189931,s003,5,33
633,1.6293,1.6309546,s003,5,34
634,1.6360000000000001,1.6374775000000001,s003,5,35
635,1.7530000000000001,1.7545548,s003,5,36
636,1.5705,1.5721284,s003,5,37
637,1.767,1.7688793,s003,5,38
638,2.4657999999999998,2.4677143,s003,5,39
639,1.6904,1.6917963999999999,s003,5,40
640,2.0769,2.0785086,s003,5,41
641,2.2078,2.2096776,s003,5,42
642,1.6822,1.6843607,s003,5,43
643,1.6294,1.6307064,s003,5,44
644,1.6423999999999999,1.6442583,s003,5,45
645,1.942,1.9440334,s003,5,46
646,1.5489000000000002,1.5503147,s003,5,47
647,1.6454,1.6471373,s003,5,48
648,1.9846,1.9863583,s003,5,49
649,1.6768999999999998,1.6782433,s003,5,50
650,1.9999,2.001601,s003,6,1
651,2.7099,2.7116017,s003,6,2
652,2.0061,2.0080386,s003,6,3
653,2.3249,2.3263856,s003,6,4
654,1.8451,1.8466554,s003,6,5
655,1.7163,1.7177942000000002,s003,6,6
656,1.813,1.8146274,s003,6,7
657,1.6619000000000002,1.6636056,s003,6,8
658,1.806,1.8073715,s003,6,9
659,1.7567,1.7582891,s003,6,10
660,2.0146,2.016474,s003,6,11
661,1.5143,1.5157098,s003,6,12
662,1.5383,1.5399797,s003,6,13
663,1.6129,1.6142864000000001,s003,6,14
664,1.6189,1.6207080999999999,s003,6,15
665,1.5789,1.5805979,s003,6,16
666,1.5666,1.5678885999999999,s003,6,17
667,1.7789000000000001,1.7805461,s003,6,18
668,1.9941,1.9958489,s003,6,19
669,2.0404,2.0417933,s003,6,20
670,1.6718,1.6733677,s003,6,21
